VarName,TimeString,VarValue,Validity,Time_ms
DRIVE 1 ACTUAL POWER,30/03/2017 12:20:30,-5.65E-02,1,42824514235
DRIVE 1 ACTUAL POWER,30/03/2017 12:21:30,0,1,42824514930
DRIVE 1 ACTUAL POWER,30/03/2017 12:22:30,0,1,42824515624
DRIVE 1 ACTUAL POWER,30/03/2017 12:23:30,0,1,42824516319
DRIVE 1 ACTUAL POWER,30/03/2017 12:24:30,0,1,42824517013
DRIVE 1 ACTUAL POWER,30/03/2017 12:25:30,0,1,42824517708
DRIVE 1 ACTUAL POWER,30/03/2017 12:26:30,0,1,42824518402
DRIVE 1 ACTUAL POWER,30/03/2017 12:27:30,0,1,42824519097
DRIVE 1 ACTUAL POWER,30/03/2017 12:28:30,0,1,42824519791
DRIVE 1 ACTUAL POWER,30/03/2017 12:29:30,0,1,42824520486
DRIVE 1 ACTUAL POWER,30/03/2017 12:30:30,0,1,42824521180
DRIVE 1 ACTUAL POWER,30/03/2017 12:31:30,0,1,42824521874
DRIVE 1 ACTUAL POWER,30/03/2017 12:32:30,0,1,42824522569
DRIVE 1 ACTUAL POWER,30/03/2017 12:33:30,0,1,42824523263
DRIVE 1 ACTUAL POWER,30/03/2017 12:34:30,0,1,42824523958
DRIVE 1 ACTUAL POWER,30/03/2017 12:35:30,0,1,42824524652
DRIVE 1 ACTUAL POWER,30/03/2017 12:36:30,0,1,42824525347
DRIVE 1 ACTUAL POWER,30/03/2017 12:37:30,0,1,42824526041
DRIVE 1 ACTUAL POWER,30/03/2017 12:38:30,0,1,42824526736
DRIVE 1 ACTUAL POWER,30/03/2017 12:39:30,0,1,42824527430
DRIVE 1 ACTUAL POWER,30/03/2017 12:40:30,0,1,42824528125
DRIVE 1 ACTUAL POWER,30/03/2017 12:41:30,0,1,42824528819
DRIVE 1 ACTUAL POWER,30/03/2017 12:42:30,0,1,42824529513
DRIVE 1 ACTUAL POWER,30/03/2017 12:43:30,0,1,42824530207
DRIVE 1 ACTUAL POWER,30/03/2017 12:44:30,0,1,42824530902
DRIVE 1 ACTUAL POWER,30/03/2017 12:45:30,0,1,42824531596
DRIVE 1 ACTUAL POWER,30/03/2017 12:46:30,0,1,42824532291
DRIVE 1 ACTUAL POWER,30/03/2017 12:47:30,0,1,42824532985
DRIVE 1 ACTUAL POWER,30/03/2017 12:48:30,0,1,42824533680
DRIVE 1 ACTUAL POWER,30/03/2017 12:49:30,0,1,42824534374
DRIVE 1 ACTUAL POWER,30/03/2017 12:50:30,0,1,42824535069
DRIVE 1 ACTUAL POWER,30/03/2017 12:51:30,0,1,42824535763
DRIVE 1 ACTUAL POWER,30/03/2017 12:52:30,0,1,42824536458
DRIVE 1 ACTUAL POWER,30/03/2017 12:53:30,0,1,42824537152
DRIVE 1 ACTUAL POWER,30/03/2017 12:54:30,0,1,42824537846
DRIVE 1 ACTUAL POWER,30/03/2017 12:55:30,0,1,42824538541
DRIVE 1 ACTUAL POWER,30/03/2017 12:56:30,0,1,42824539235
DRIVE 1 ACTUAL POWER,30/03/2017 12:57:30,0,1,42824539930
DRIVE 1 ACTUAL POWER,30/03/2017 12:58:30,0,1,42824540624
DRIVE 1 ACTUAL POWER,30/03/2017 12:59:30,0,1,42824541319
DRIVE 1 ACTUAL POWER,30/03/2017 13:00:30,0,1,42824542013
DRIVE 1 ACTUAL POWER,30/03/2017 13:01:30,0,1,42824542708
DRIVE 1 ACTUAL POWER,30/03/2017 13:02:30,0,1,42824543402
DRIVE 1 ACTUAL POWER,30/03/2017 13:03:30,0,1,42824544097
DRIVE 1 ACTUAL POWER,30/03/2017 13:04:30,0,1,42824544791
$RT_OFF$,30/03/2017 13:04:43,0,2,42824544938
DRIVE 1 ACTUAL POWER,30/03/2017 15:24:37,0,1,42824642098
DRIVE 1 ACTUAL POWER,30/03/2017 15:25:37,0.2633366,1,42824642793
DRIVE 1 ACTUAL POWER,30/03/2017 15:26:37,0.376888,1,42824643486
DRIVE 1 ACTUAL POWER,30/03/2017 15:27:37,0.1421195,1,42824644181
DRIVE 1 ACTUAL POWER,30/03/2017 15:28:37,0,1,42824644875
DRIVE 1 ACTUAL POWER,30/03/2017 15:29:37,-1.33E-16,1,42824645570
DRIVE 1 ACTUAL POWER,30/03/2017 15:30:37,0.473632,1,42824646264
DRIVE 1 ACTUAL POWER,30/03/2017 15:31:37,0.142496,1,42824646959
DRIVE 1 ACTUAL POWER,30/03/2017 15:32:37,0.3510005,1,42824647653
DRIVE 1 ACTUAL POWER,30/03/2017 15:33:37,0,1,42824648348
$RT_OFF$,30/03/2017 15:34:33,0,2,42824648995
$RT_OFF$,30/03/2017 15:37:06,0,2,42824650768
DRIVE 1 ACTUAL POWER,30/03/2017 15:39:47,0.2545609,1,42824652624
$RT_OFF$,30/03/2017 15:41:48,0,2,42824654027
DRIVE 1 ACTUAL POWER,30/03/2017 15:46:27,0.4224044,1,42824657258
DRIVE 1 ACTUAL POWER,30/03/2017 15:47:27,0.2557439,1,42824657952
DRIVE 1 ACTUAL POWER,30/03/2017 15:48:27,0.4180434,1,42824658647
DRIVE 1 ACTUAL POWER,30/03/2017 15:49:27,0.2576251,1,42824659341
DRIVE 1 ACTUAL POWER,30/03/2017 15:50:27,0.3624919,1,42824660036
DRIVE 1 ACTUAL POWER,30/03/2017 15:51:27,0.4574837,1,42824660730
DRIVE 1 ACTUAL POWER,30/03/2017 15:52:27,0.2999492,1,42824661425
DRIVE 1 ACTUAL POWER,30/03/2017 15:53:27,0,1,42824662119
DRIVE 1 ACTUAL POWER,30/03/2017 15:54:27,0.4275199,1,42824662814
DRIVE 1 ACTUAL POWER,30/03/2017 15:55:27,0,1,42824663508
DRIVE 1 ACTUAL POWER,30/03/2017 15:56:27,0,1,42824664203
DRIVE 1 ACTUAL POWER,30/03/2017 15:57:27,0,1,42824664897
DRIVE 1 ACTUAL POWER,30/03/2017 15:58:27,0,1,42824665592
DRIVE 1 ACTUAL POWER,30/03/2017 15:59:27,0,1,42824666286
DRIVE 1 ACTUAL POWER,30/03/2017 16:00:27,0,1,42824666981
DRIVE 1 ACTUAL POWER,30/03/2017 16:01:27,0,1,42824667675
DRIVE 1 ACTUAL POWER,30/03/2017 16:02:27,0,1,42824668370
DRIVE 1 ACTUAL POWER,30/03/2017 16:03:27,0,1,42824669064
DRIVE 1 ACTUAL POWER,30/03/2017 16:04:27,0,1,42824669759
DRIVE 1 ACTUAL POWER,30/03/2017 16:05:27,0,1,42824670453
DRIVE 1 ACTUAL POWER,30/03/2017 16:06:27,0,1,42824671148
DRIVE 1 ACTUAL POWER,30/03/2017 16:07:27,0,1,42824671842
DRIVE 1 ACTUAL POWER,30/03/2017 16:08:27,0,1,42824672537
DRIVE 1 ACTUAL POWER,30/03/2017 16:09:27,0,1,42824673231
DRIVE 1 ACTUAL POWER,30/03/2017 16:10:27,0,1,42824673926
DRIVE 1 ACTUAL POWER,30/03/2017 16:11:27,0,1,42824674620
DRIVE 1 ACTUAL POWER,30/03/2017 16:12:27,0,1,42824675314
DRIVE 1 ACTUAL POWER,30/03/2017 16:13:27,0,1,42824676009
DRIVE 1 ACTUAL POWER,30/03/2017 16:14:27,0,1,42824676702
DRIVE 1 ACTUAL POWER,30/03/2017 16:15:27,0,1,42824677397
DRIVE 1 ACTUAL POWER,30/03/2017 16:16:27,0,1,42824678091
DRIVE 1 ACTUAL POWER,30/03/2017 16:17:27,0,1,42824678786
DRIVE 1 ACTUAL POWER,30/03/2017 16:18:27,0,1,42824679480
DRIVE 1 ACTUAL POWER,30/03/2017 16:19:27,0,1,42824680175
DRIVE 1 ACTUAL POWER,30/03/2017 16:20:27,0,1,42824680869
DRIVE 1 ACTUAL POWER,30/03/2017 16:21:27,0,1,42824681564
DRIVE 1 ACTUAL POWER,30/03/2017 16:22:27,0,1,42824682258
DRIVE 1 ACTUAL POWER,30/03/2017 16:23:27,0,1,42824682953
DRIVE 1 ACTUAL POWER,30/03/2017 16:24:27,0,1,42824683647
DRIVE 1 ACTUAL POWER,30/03/2017 16:25:27,0,1,42824684342
DRIVE 1 ACTUAL POWER,30/03/2017 16:26:27,0,1,42824685036
DRIVE 1 ACTUAL POWER,30/03/2017 16:27:27,0.352722,1,42824685731
DRIVE 1 ACTUAL POWER,30/03/2017 16:28:27,0,1,42824686425
DRIVE 1 ACTUAL POWER,30/03/2017 16:29:27,0,1,42824687120
DRIVE 1 ACTUAL POWER,30/03/2017 16:30:27,0,1,42824687814
DRIVE 1 ACTUAL POWER,30/03/2017 16:31:27,0,1,42824688509
DRIVE 1 ACTUAL POWER,30/03/2017 16:32:27,0,1,42824689203
DRIVE 1 ACTUAL POWER,30/03/2017 16:33:27,0,1,42824689898
DRIVE 1 ACTUAL POWER,30/03/2017 16:35:27,0,1,42824691287
DRIVE 1 ACTUAL POWER,30/03/2017 16:36:27,0,1,42824691981
DRIVE 1 ACTUAL POWER,30/03/2017 16:37:27,0,1,42824692676
DRIVE 1 ACTUAL POWER,30/03/2017 16:38:27,0,1,42824693369
DRIVE 1 ACTUAL POWER,30/03/2017 16:39:27,0,1,42824694063
DRIVE 1 ACTUAL POWER,30/03/2017 16:40:27,0,1,42824694758
DRIVE 1 ACTUAL POWER,30/03/2017 16:41:27,0.9002623,1,42824695452
DRIVE 1 ACTUAL POWER,30/03/2017 16:42:27,0.2497213,1,42824696147
DRIVE 1 ACTUAL POWER,30/03/2017 16:43:27,5.73E-02,1,42824696841
DRIVE 1 ACTUAL POWER,30/03/2017 16:44:27,0.319182,1,42824697536
DRIVE 1 ACTUAL POWER,30/03/2017 16:45:27,0.3384,1,42824698230
DRIVE 1 ACTUAL POWER,30/03/2017 16:46:27,0,1,42824698925
DRIVE 1 ACTUAL POWER,30/03/2017 16:47:27,0.182077,1,42824699619
