"VarName","TimeString","VarValue","Validity","Time_ms"
"MOTOR 1 TEMPERATURE","30/03/2017 12:21:30",20.03069,1,42824514929.6528
"MOTOR 1 TEMPERATURE","30/03/2017 12:22:30",20.0278,1,42824515624.1319
"MOTOR 1 TEMPERATURE","30/03/2017 12:23:30",20.03925,1,42824516318.6227
"MOTOR 1 TEMPERATURE","30/03/2017 12:24:30",20.0355,1,42824517013.1019
"MOTOR 1 TEMPERATURE","30/03/2017 12:25:30",20.0324,1,42824517707.5926
"MOTOR 1 TEMPERATURE","30/03/2017 12:26:30",20.29612,1,42824518402.0718
"MOTOR 1 TEMPERATURE","30/03/2017 12:27:30",20.25923,1,42824519096.5625
"MOTOR 1 TEMPERATURE","30/03/2017 12:28:30",20.22597,1,42824519791.0417
"MOTOR 1 TEMPERATURE","30/03/2017 12:29:30",20.19912,1,42824520485.5208
"MOTOR 1 TEMPERATURE","30/03/2017 12:30:30",20.17721,1,42824521180.0116
"MOTOR 1 TEMPERATURE","30/03/2017 12:31:30",20.15894,1,42824521874.4907
"MOTOR 1 TEMPERATURE","30/03/2017 12:32:30",20.14365,1,42824522568.9815
"MOTOR 1 TEMPERATURE","30/03/2017 12:33:30",20.13089,1,42824523263.4606
"MOTOR 1 TEMPERATURE","30/03/2017 12:34:30",20.11982,1,42824523957.9514
"MOTOR 1 TEMPERATURE","30/03/2017 12:35:30",20.11034,1,42824524652.4306
"MOTOR 1 TEMPERATURE","30/03/2017 12:36:30",20.10199,1,42824525346.9097
"MOTOR 1 TEMPERATURE","30/03/2017 12:37:30",20.09454,1,42824526041.4005
"MOTOR 1 TEMPERATURE","30/03/2017 12:38:30",20.08795,1,42824526735.8796
"MOTOR 1 TEMPERATURE","30/03/2017 12:39:30",20.08212,1,42824527430.3704
"MOTOR 1 TEMPERATURE","30/03/2017 12:40:30",20.07678,1,42824528124.8495
"MOTOR 1 TEMPERATURE","30/03/2017 12:41:30",20.07185,1,42824528819.3403
"MOTOR 1 TEMPERATURE","30/03/2017 12:42:30",20.06742,1,42824529512.662
"MOTOR 1 TEMPERATURE","30/03/2017 12:43:30",20.06344,1,42824530207.1412
"MOTOR 1 TEMPERATURE","30/03/2017 12:44:30",20.05962,1,42824530901.6319
"MOTOR 1 TEMPERATURE","30/03/2017 12:45:30",20.0562,1,42824531596.1111
"MOTOR 1 TEMPERATURE","30/03/2017 12:46:30",20.05295,1,42824532290.6019
"MOTOR 1 TEMPERATURE","30/03/2017 12:47:30",20.04994,1,42824532985.081
